Microbe,Condition,Effect,Sample Type,Host,Method,Study Title,PubMed Link
Faecalibacterium prausnitzii,Crohn's Disease,Reduced,Faeces,Human,Denaturating gradient gel electrophoresis (DGGE),Dysbiosis of the faecal microbiota in patients with Crohn’s disease and their unaffected relatives. ,"https://www.ncbi.nlm.nih.gov/pubmed/21209126
"
Ruminococcus gnavus,Crohn's Disease,Elevated,Faeces,Human,Denaturating gradient gel electrophoresis (DGGE),Dysbiosis of the faecal microbiota in patients with Crohn’s disease and their unaffected relatives. ,"https://www.ncbi.nlm.nih.gov/pubmed/21209126
"
Dialister invisus,Crohn's Disease,Reduced,Faeces,Human,Denaturating gradient gel electrophoresis (DGGE),Dysbiosis of the faecal microbiota in patients with Crohn’s disease and their unaffected relatives. ,"https://www.ncbi.nlm.nih.gov/pubmed/21209126
"
Bifidobacterium adolescentis,Crohn's Disease,Reduced,Faeces,Human,Denaturating gradient gel electrophoresis (DGGE),Dysbiosis of the faecal microbiota in patients with Crohn’s disease and their unaffected relatives. ,"https://www.ncbi.nlm.nih.gov/pubmed/21209126
"
Faecalibacterium prausnitzii,Crohn's Disease,Reduced,Faeces,Human,qPCR,Dysbiosis of the faecal microbiota in patients with Crohn’s disease and their unaffected relatives. ,"https://www.ncbi.nlm.nih.gov/pubmed/21209126
"
Ruminococcus gnavus,Crohn's Disease,Elevated,Faeces,Human,qPCR,Dysbiosis of the faecal microbiota in patients with Crohn’s disease and their unaffected relatives. ,"https://www.ncbi.nlm.nih.gov/pubmed/21209126
"
Bifidobacterium adolescentis,Crohn's Disease,Reduced,Faeces,Human,qPCR,Dysbiosis of the faecal microbiota in patients with Crohn’s disease and their unaffected relatives. ,"https://www.ncbi.nlm.nih.gov/pubmed/21209126
"
Parvimonas micra,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Prevotella melaninogenica,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Peptostreptococcus anaerobius,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Staphylococcus aureus,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Streptococcus anginosus,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Streptococcus mutans,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Bacteroides ureolyticus,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Campylobacter gracilis,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Prevotella melaninogenica,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Staphylococcus aureus,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Streptococcus anginosus,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Streptococcus intermedius,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Streptococcus mutans,Crohn's Disease,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Parvimonas micra,Ulcerative Colitis,Reduced,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Peptostreptococcus anaerobius,Ulcerative Colitis,Reduced,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Staphylococcus aureus,Ulcerative Colitis,Elevated,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Streptococcus anginosus,Ulcerative Colitis,Reduced,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Streptococcus mitis,Ulcerative Colitis,Reduced,Subgingival plaque,Human,DNA-DNA hybridization,Subgingival microflora in inflammatory bowel disease patients with untreated periodontitis.,https://www.ncbi.nlm.nih.gov/pubmed/23060013
Bifidobacterium,Irritable Bowel Syndrome,Reduced,Faeces,Human,qPCR,Fecal microbiota in patients with irritable bowel syndrome compared with healthy controls using real-time polymerase chain reaction: an evidence of dysbiosis. ,https://www.ncbi.nlm.nih.gov/pubmed/25784074
Ruminococcus productus,Irritable Bowel Syndrome,Elevated,Faeces,Human,qPCR,Fecal microbiota in patients with irritable bowel syndrome compared with healthy controls using real-time polymerase chain reaction: an evidence of dysbiosis. ,https://www.ncbi.nlm.nih.gov/pubmed/25784074
Veillonella,Irritable Bowel Syndrome,Elevated,Faeces,Human,qPCR,Fecal microbiota in patients with irritable bowel syndrome compared with healthy controls using real-time polymerase chain reaction: an evidence of dysbiosis. ,https://www.ncbi.nlm.nih.gov/pubmed/25784074
Bacteroides,Irritable Bowel Syndrome,Elevated,Faeces,Human,qPCR,Fecal microbiota in patients with irritable bowel syndrome compared with healthy controls using real-time polymerase chain reaction: an evidence of dysbiosis. ,https://www.ncbi.nlm.nih.gov/pubmed/25784074
Pseudomonas aeruginosa,Irritable Bowel Syndrome,Elevated,Faeces,Human,qPCR,Fecal microbiota in patients with irritable bowel syndrome compared with healthy controls using real-time polymerase chain reaction: an evidence of dysbiosis. ,https://www.ncbi.nlm.nih.gov/pubmed/25784074
Bifidobacterium catenulatum,Cirrhosis,Reduced,Faeces,Human,qPCR,Changes of fecal Bifidobacterium species in adult patients with hepatitis B virus-induced chronic liver disease.,https://www.ncbi.nlm.nih.gov/pubmed/21814872
Bifidobacterium catenulatum,Cirrhosis,Reduced,Faeces,Human,qPCR,Changes of fecal Bifidobacterium species in adult patients with hepatitis B virus-induced chronic liver disease.,https://www.ncbi.nlm.nih.gov/pubmed/21814872
Bifidobacterium catenulatum,Cirrhosis,Reduced,Faeces,Human,qPCR,Changes of fecal Bifidobacterium species in adult patients with hepatitis B virus-induced chronic liver disease.,https://www.ncbi.nlm.nih.gov/pubmed/21814872
Bifidobacterium longum,Cirrhosis,Reduced,Faeces,Human,qPCR,Changes of fecal Bifidobacterium species in adult patients with hepatitis B virus-induced chronic liver disease.,https://www.ncbi.nlm.nih.gov/pubmed/21814872
Bifidobacterium longum,Cirrhosis,Reduced,Faeces,Human,qPCR,Changes of fecal Bifidobacterium species in adult patients with hepatitis B virus-induced chronic liver disease.,https://www.ncbi.nlm.nih.gov/pubmed/21814872
Bifidobacterium dentium,Cirrhosis,Elevated,Faeces,Human,qPCR,Changes of fecal Bifidobacterium species in adult patients with hepatitis B virus-induced chronic liver disease.,https://www.ncbi.nlm.nih.gov/pubmed/21814872
Enterococcus,Cirrhosis,Elevated,Faeces,Human,Cell culture,Intestinal microflora in patients with liver cirrhosis,https://www.ncbi.nlm.nih.gov/pubmed/15612659
Enterobacter,Cirrhosis,Elevated,Faeces,Human,Cell culture,Intestinal microflora in patients with liver cirrhosis,https://www.ncbi.nlm.nih.gov/pubmed/15612659
Bifidobacterium,Cirrhosis,Reduced,Faeces,Human,Cell culture,Intestinal microflora in patients with liver cirrhosis,https://www.ncbi.nlm.nih.gov/pubmed/15612659
Clostridium,Cirrhosis,Elevated,Faeces,Human,Cell culture,Intestinal microflora in patients with liver cirrhosis,https://www.ncbi.nlm.nih.gov/pubmed/15612659
Prevotella,Type 2 Diabetes,Elevated,Faeces,Human,qPCR,Gut microbiota in human adults with type 2 diabetes differs from non-diabetic adults.,https://www.ncbi.nlm.nih.gov/pubmed/20140211
Roseburia,Type 2 Diabetes,Elevated,Faeces,Human,qPCR,Gut microbiota in human adults with type 2 diabetes differs from non-diabetic adults.,https://www.ncbi.nlm.nih.gov/pubmed/20140211
Akkermansia muciniphila,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Bacteroides intestinalis,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Clostridium boltae,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Clostridium hathewayi,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Clostridium ramosum,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Clostridium symbiosum,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Eggerthella lenta,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Escherichia coli,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Alistipes,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Parabacteroides,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Subdoligranulum,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Lachnospiraceae,Type 2 Diabetes,Elevated,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Eubacterium rectale,Type 2 Diabetes,Reduced,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Faecalibacterium prausnitzii,Type 2 Diabetes,Reduced,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Haemophilus parainfluenzae,Type 2 Diabetes,Reduced,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Roseburia intestinalis,Type 2 Diabetes,Reduced,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Roseburia Inulinivorans,Type 2 Diabetes,Reduced,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Eubacterium,Type 2 Diabetes,Reduced,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Erysipelotrichaceae,Type 2 Diabetes,Reduced,Faeces,Human,Shotgun sequencing,A metagenome-wide association study of gut microbiota in type 2 diabetes.,https://www.ncbi.nlm.nih.gov/pubmed/23023125
Bacteroides vulgatus,Obesity,Reduced,Faeces,Human,qPCR,Differences in gut microbiota composition between obese and lean children: a cross-sectional study,https://www.ncbi.nlm.nih.gov/pubmed/23631345
Lactobacillus,Obesity,Elevated,Faeces,Human,qPCR,Differences in gut microbiota composition between obese and lean children: a cross-sectional study,https://www.ncbi.nlm.nih.gov/pubmed/23631345
Lactobacillus,Pouchitis,Reduced,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Lactobacillus,Pouchitis,Reduced,Pouch biopsie,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Streptococcus,Pouchitis,Reduced,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Streptococcus,Pouchitis,Reduced,Pouch biopsie,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Clostridium,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Eubacterium,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Roseburia,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Clostridium,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Eubacterium,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Roseburia,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Escherichia,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Streptococcus,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Bacteroides,Pouchitis,Reduced,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Parabacteroides,Pouchitis,Reduced,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Prevotella,Pouchitis,Elevated,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Clostridium,Pouchitis,Elevated,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Lachnospira,Pouchitis,Elevated,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Roseburia,Pouchitis,Elevated,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Faecalibacterium,Pouchitis,Reduced,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Acidaminococcus,Pouchitis,Reduced,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Veillonella,Pouchitis,Elevated,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Akkermansia,Pouchitis,Elevated,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Citrobacter,Pouchitis,Elevated,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Escherichia,Pouchitis,Reduced,Faeces,Human,16S rRNA sequencing,Distinct microbiome in pouchitis compared to healthy pouches in ulcerative colitis and familial adenomatous polyposis. ,https://www.ncbi.nlm.nih.gov/pubmed/20845425
Leptospira,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),An assessment of bacterial dysbiosis in pouchitis using terminal restriction fragment length polymorphisms of 16S ribosomal DNA from effluent microbiota. ,https://www.ncbi.nlm.nih.gov/pubmed/19617766
Pseudoalteromonas,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),An assessment of bacterial dysbiosis in pouchitis using terminal restriction fragment length polymorphisms of 16S ribosomal DNA from effluent microbiota. ,https://www.ncbi.nlm.nih.gov/pubmed/19617766
Desulfosporosinus,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),An assessment of bacterial dysbiosis in pouchitis using terminal restriction fragment length polymorphisms of 16S ribosomal DNA from effluent microbiota. ,https://www.ncbi.nlm.nih.gov/pubmed/19617766
Microcystis,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),An assessment of bacterial dysbiosis in pouchitis using terminal restriction fragment length polymorphisms of 16S ribosomal DNA from effluent microbiota. ,https://www.ncbi.nlm.nih.gov/pubmed/19617766
Methylobacter,Pouchitis,Elevated,Faeces,Human,Terminal Restriction Fragment Lengt Polymorphism (TRFLP),An assessment of bacterial dysbiosis in pouchitis using terminal restriction fragment length polymorphisms of 16S ribosomal DNA from effluent microbiota. ,https://www.ncbi.nlm.nih.gov/pubmed/19617766
Escherichia,Short Bowel Syndrome,Elevated,Faeces,Human,16S rRNA sequencing,The fecal microbiome in pediatric patients with short bowel syndrome.,https://www.ncbi.nlm.nih.gov/pubmed/26059898
Shigella,Short Bowel Syndrome,Elevated,Faeces,Human,16S rRNA sequencing,The fecal microbiome in pediatric patients with short bowel syndrome.,https://www.ncbi.nlm.nih.gov/pubmed/26059898
Streptococcus,Short Bowel Syndrome,Elevated,Faeces,Human,16S rRNA sequencing,The fecal microbiome in pediatric patients with short bowel syndrome.,https://www.ncbi.nlm.nih.gov/pubmed/26059898
Alistipes,Short Bowel Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,The fecal microbiome in pediatric patients with short bowel syndrome.,https://www.ncbi.nlm.nih.gov/pubmed/26059898
Parabacteroides,Short Bowel Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,The fecal microbiome in pediatric patients with short bowel syndrome.,https://www.ncbi.nlm.nih.gov/pubmed/26059898
Lachnospiraceae,Short Bowel Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,The fecal microbiome in pediatric patients with short bowel syndrome.,https://www.ncbi.nlm.nih.gov/pubmed/26059898
Ruminococcus callidus,Acquired Immunodeficiency Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,Altered virome and bacterial microbiome in human immunodefiency virus-associated acquired immunodeficiency syndrome,https://www.ncbi.nlm.nih.gov/pubmed/26962942
Ruminococcus bromii,Acquired Immunodeficiency Syndrome,Reduced,Faeces,Human,16S rRNA sequencing,Altered virome and bacterial microbiome in human immunodefiency virus-associated acquired immunodeficiency syndrome,https://www.ncbi.nlm.nih.gov/pubmed/26962942
Streptococcus,Laryngeal carcinoma,Reduced,Tissue biopsie,Human,16S rRNA sequencing,The composition of microbiome in larynx and the throat biodiversity between laryngeal squamous cell carcinoma patients and control population,https://www.ncbi.nlm.nih.gov/pubmed/23824228
Fusobacterium,Laryngeal carcinoma,Elevated,Tissue biopsie,Human,16S rRNA sequencing,The composition of microbiome in larynx and the throat biodiversity between laryngeal squamous cell carcinoma patients and control population,https://www.ncbi.nlm.nih.gov/pubmed/23824228
